City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-03-28 19:47:03,19.7297,-155.09,68.0,88,90,6.91
1,The Pas,CA,2021-03-28 19:47:04,53.8251,-101.2541,30.2,80,90,21.85
2,Ushuaia,AR,2021-03-28 19:47:04,-54.8,-68.3,46.4,61,40,25.32
3,Gijon,ES,2021-03-28 19:47:04,43.5357,-5.6615,57.0,87,0,3.0
4,Kunashak,RU,2021-03-28 19:47:05,55.7032,61.5498,30.2,59,0,15.66
5,Mataura,NZ,2021-03-28 19:47:05,-46.1927,168.8643,53.01,99,75,1.01
6,Broken Hill,AU,2021-03-28 19:47:05,-31.95,141.4333,57.2,58,2,8.05
7,Limon,CR,2021-03-28 19:47:05,10.0,-83.0333,84.2,65,20,6.91
8,Hobart,AU,2021-03-28 19:42:56,-42.8794,147.3294,53.6,50,20,14.97
9,Mingshui,CN,2021-03-28 19:47:06,36.7167,117.5,61.0,30,100,4.88
10,Payo,ID,2021-03-28 19:47:06,-3.7508,103.6372,72.46,99,100,2.01
11,Wuxue,CN,2021-03-28 19:47:06,29.8506,115.5525,60.93,87,0,4.52
12,Kavaratti,IN,2021-03-28 19:44:30,10.5669,72.642,83.62,73,100,6.33
13,Carnarvon,AU,2021-03-28 19:47:07,-24.8667,113.6333,73.4,94,0,3.65
14,Praya,CV,2021-03-28 19:47:07,14.9215,-23.5087,69.8,68,40,25.32
15,Hithadhoo,MV,2021-03-28 19:46:48,-0.6,73.0833,80.15,83,100,30.65
16,Campbell River,CA,2021-03-28 19:47:07,50.0163,-125.2446,44.6,76,75,13.8
17,Sinnamary,GF,2021-03-28 19:47:08,5.3833,-52.95,79.93,79,98,14.16
18,Mayo,US,2021-03-28 19:47:08,38.8876,-76.5119,73.0,73,20,12.66
19,Naron,ES,2021-03-28 19:47:08,43.5167,-8.1528,60.8,48,0,2.3
20,Charlestown,AU,2021-03-28 19:47:08,-32.95,151.6667,64.0,97,21,3.22
21,Smithers,CA,2021-03-28 19:47:09,54.7804,-127.1743,35.6,48,75,14.97
22,Nipawin,CA,2021-03-28 19:47:09,53.3668,-104.0009,39.2,65,1,13.8
23,Hambantota,LK,2021-03-28 19:42:58,6.1241,81.1185,73.4,100,90,3.44
24,Torbay,CA,2021-03-28 19:47:09,47.6666,-52.7314,28.99,68,75,9.22
25,San Luis,AR,2021-03-28 19:42:10,-33.295,-66.3356,73.0,24,0,5.86
26,Tanout,NE,2021-03-28 19:47:10,14.9709,8.8879,74.03,12,0,13.78
27,Fare,PF,2021-03-28 19:45:04,-16.7,-151.0167,81.97,73,18,21.34
28,Maarianhamina,AX,2021-03-28 19:47:10,60.0973,19.9348,39.2,87,0,18.41
29,Puerto Escondido,MX,2021-03-28 19:47:10,15.85,-97.0667,87.8,74,1,6.91
30,Bluff,NZ,2021-03-28 19:46:23,-46.6,168.3333,53.01,99,96,1.01
31,Ponta Do Sol,PT,2021-03-28 19:47:11,32.6667,-17.1,62.01,66,74,3.0
